2782 1.000 0.308 0.308 0.000 0.538 0.154 0.308 0.615 0.462 0.308
2847 1.000 0.200 0.400 0.000 0.000 0.300 0.000 0.500 0.200 0.500
2919 1.000 0.250 0.750 0.125 0.250 0.000 0.750 0.125 0.875 0.125
2921 0.750 0.750 0.750 0.625 0.000 0.750 0.250 0.625 1.000 1.000
2924 1.000 0.563 0.688 0.500 0.000 0.250 0.000 0.500 0.375 0.188
2951 0.600 0.300 0.300 0.000 1.000 0.900 0.800 0.100 0.100 0.100
2968 1.000 0.833 0.667 0.444 0.500 0.000 0.333 0.167 0.000 0.000
3018 0.739 1.000 0.739 0.652 0.217 0.130 0.000 0.087 0.087 0.087
302 0.909 0.455 0.273 1.000 0.545 0.727 0.364 0.000 0.455 0.364
3114 0.923 0.308 0.923 0.308 1.000 0.615 0.923 0.615 0.692 0.000
3216 1.000 0.381 0.286 0.286 0.143 0.238 0.000 0.333 0.095 0.048
3219 0.333 0.500 1.000 0.333 0.000 0.333 1.000 0.500 0.333 0.667
3221 1.000 0.444 0.667 0.611 0.667 0.722 0.611 0.667 0.611 0.000
3294 0.000 1.000 0.167 0.500 0.000 0.667 0.167 1.000 1.000 0.500
3382 1.000 0.500 0.950 0.300 0.700 0.600 0.650 0.500 0.500 0.000
3390 0.286 0.286 0.286 0.143 0.429 0.000 0.571 0.000 0.000 1.000
3689 1.000 0.500 0.286 0.643 0.000 0.000 0.071 0.214 0.643 0.143
3706 0.467 0.733 1.000 0.467 1.000 0.333 0.533 0.000 0.333 0.133
3768 0.654 0.731 1.000 0.654 0.808 0.538 0.577 0.308 0.000 0.038
3787 1.000 0.286 0.000 0.286 0.286 0.571 0.571 0.571 0.286 0.714
3853 1.000 0.077 0.923 0.000 0.769 0.615 0.538 0.154 0.077 0.385
3864 0.667 0.238 0.524 0.429 0.429 0.286 1.000 0.381 0.429 0.000
3867 0.500 0.700 0.500 0.700 1.000 0.000 0.700 0.400 0.600 0.300
3976 0.800 1.000 0.100 0.300 0.700 0.000 0.200 0.000 0.400 0.200
4201 0.000 1.000 1.000 0.167 0.833 0.667 0.500 0.667 0.667 1.000
4289 0.619 1.000 0.762 0.429 0.762 0.524 0.571 0.048 0.048 0.000
4315 0.950 0.850 1.000 0.750 1.000 0.950 0.650 0.600 0.200 0.000
436 0.722 1.000 0.500 0.444 0.111 0.000 0.222 0.500 0.000 0.167
4409 0.600 0.600 0.200 1.000 0.200 0.400 0.000 0.000 0.800 0.800
4420 0.375 0.750 1.000 0.625 0.000 1.000 1.000 1.000 1.000 1.000
4503 0.000 0.400 1.000 0.700 0.700 0.100 0.500 0.000 0.600 0.700
4602 0.824 0.882 1.000 0.941 0.882 0.118 0.353 0.000 0.588 0.059
4704 0.900 0.200 0.600 0.100 0.200 0.900 0.900 0.000 1.000 1.000
4706 1.000 0.846 0.923 0.000 0.462 0.077 0.846 0.077 0.538 0.538
472 1.000 0.968 0.000 0.871 0.645 0.710 0.323 0.323 0.355 0.419
473 1.000 0.571 0.357 0.000 0.286 0.357 0.000 0.071 0.000 0.000
4756 0.833 0.167 1.000 0.500 0.667 0.000 0.333 0.333 0.333 0.333
4781 1.000 0.714 0.381 0.619 0.238 0.381 0.381 0.095 0.000 0.048
483 0.720 0.040 0.080 1.000 0.000 0.120 0.040 0.200 0.080 0.160
4831 0.083 0.667 0.500 1.000 0.083 0.917 0.750 0.083 0.000 0.333
4913 1.000 0.429 0.571 0.286 0.000 0.429 0.071 0.071 0.071 0.071
4914 1.000 0.900 0.750 0.500 0.350 0.000 0.150 0.050 0.450 0.450
4916 1.000 0.857 0.952 0.333 0.571 0.000 0.476 0.190 0.619 0.000
494 1.000 0.889 0.667 0.889 0.333 0.778 0.556 0.333 0.000 0.556
5040 1.000 0.500 0.750 0.667 1.000 0.583 0.667 0.500 0.250 0.000
5126 1.000 0.500 0.286 0.000 0.143 0.000 0.000 0.143 0.000 0.000
5157 0.700 1.000 0.900 1.000 0.900 1.000 0.600 0.300 0.000 1.000
5201 1.000 0.812 0.562 0.187 0.000 0.625 0.562 0.750 0.125 0.375
5238 1.000 0.455 0.591 0.136 0.318 0.182 0.409 0.000 0.273 0.182
526 1.000 0.556 0.333 0.667 0.333 0.000 0.222 0.333 0.667 0.333
5261 0.300 0.100 0.000 0.300 0.800 0.900 1.000 1.000 0.900 0.400
5311 0.273 0.182 0.182 0.909 0.818 1.000 0.364 0.636 0.182 0.000
5342 1.000 0.700 0.900 0.400 0.200 0.100 0.000 0.000 0.000 0.000
5346 1.000 0.571 0.429 0.000 0.571 0.143 0.286 0.286 0.429 0.857
536 1.000 0.091 0.909 0.545 0.818 0.364 0.909 0.000 0.545 0.273
5368 0.000 1.000 0.333 0.667 0.667 0.667 0.167 0.333 0.500 0.667
5371 1.000 0.529 0.588 0.706 0.176 0.176 0.176 0.176 0.118 0.000
5372 1.000 0.000 0.778 0.500 0.556 0.722 0.722 0.278 0.444 0.222
5383 0.750 0.000 0.625 0.250 1.000 0.500 1.000 0.750 0.750 0.750
5439 0.750 0.750 0.250 0.500 0.625 1.000 0.625 0.000 0.375 0.500
5450 0.167 0.667 0.167 1.000 0.833 0.000 0.000 0.000 0.000 0.000
5452 0.857 0.286 0.000 0.857 0.000 0.286 0.857 0.143 0.571 1.000
548 1.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
5564 1.000 0.867 0.933 0.467 0.733 0.333 0.333 0.067 0.133 0.000
5569 0.875 0.000 1.000 0.625 0.625 0.375 0.750 0.312 0.250 0.312
5578 0.667 1.000 0.667 0.238 0.143 0.000 0.143 0.143 0.143 0.143
562 0.571 0.714 1.000 0.857 0.929 0.714 0.429 0.286 0.000 0.000
5660 1.000 0.600 0.400 0.100 0.600 0.300 0.000 0.400 0.900 0.100
5668 1.000 0.429 1.000 0.000 0.000 0.571 0.571 0.286 0.857 1.000
5671 0.167 0.333 0.583 0.167 1.000 0.000 0.667 0.083 0.667 0.167
569 0.615 0.923 0.692 1.000 0.154 0.462 0.308 0.000 0.385 0.923
5774 0.222 0.000 1.000 0.111 0.778 0.778 0.222 0.111 0.778 0.111
5785 0.000 0.462 0.308 0.692 0.462 0.615 1.000 0.769 0.308 0.308
5786 1.000 0.333 1.000 0.667 0.867 0.067 0.267 0.333 0.000 0.000
5954 1.000 0.720 0.480 0.560 0.600 0.440 0.440 0.200 0.160 0.000
5958 0.182 0.455 0.273 0.364 0.545 0.000 0.455 0.182 1.000 0.182
6018 1.000 0.889 0.667 0.333 0.778 0.444 0.667 0.000 0.000 0.444
6076 0.571 0.000 0.429 0.000 1.000 0.429 0.857 0.286 0.857 0.143
6084 1.000 0.462 0.538 0.846 0.615 0.462 0.923 0.231 0.385 0.000
609 1.000 0.429 0.257 0.229 0.000 0.200 0.200 0.114 0.200 0.200
614 0.615 0.769 1.000 0.231 0.462 0.000 0.000 0.000 0.231 0.231
615 0.889 0.333 1.000 0.222 0.778 0.222 0.000 0.111 0.111 0.111
617 1.000 0.500 0.542 0.583 0.000 0.000 0.042 0.000 0.000 0.000
619 1.000 0.500 0.833 0.000 0.000 0.333 0.667 0.667 0.667 0.667
