7737,4.21,43
7742,0.16,44
7746,3.07,43
7758,0.59,46
7768,2.34,42
7770,1.37,41
7784,1.41,48
7787,2.06,49
7809,0.48,44
7815,4.70,51
7816,2.91,40
7818,3.30,41
7820,11.03,47
7907,4.55,43
7909,6.13,40
7910,3.79,43
7915,0.95,45
7917,1.07,44
7931,3.45,41
7965,3.63,41
7981,4.67,39
7994,6.15,49
8006,0.39,38
8051,0.12,35
8054,0.59,39
8056,0.12,37
8059,4.21,38
8063,5.23,43
8075,0.85,48
8100,0.18,42
8113,1.45,41
8123,0.56,43
8147,0.47,46
8179,7.12,39
8187,3.40,44
8215,0.13,38
8216,0.35,45
8217,3.85,46
8231,0.32,46
8264,5.31,39
8267,3.11,37
8305,0.94,43
8307,0.61,48
8310,2.14,32
8331,2.17,43
8332,6.14,48
8346,0.55,45
8347,2.15,48
8356,1.17,45
8362,6.81,38
8363,3.10,43
8377,2.50,41
8384,1.90,41
8385,0.97,42
8393,3.10,46
8394,3.60,41
8396,7.73,46
8399,0.09,39
8400,0.13,39
8404,10.56,48
8413,4.22,50
8422,5.60,45
8442,0.16,43
8463,2.23,40
8464,0.73,47
8470,1.28,40
8473,0.98,48
8517,1.59,45
8526,1.52,43
8533,6.67,39
8582,3.35,43
8588,1.10,46
8590,3.74,47
8598,0.73,41
8600,3.46,38
8621,1.15,48
8625,0.46,44
8632,8.25,38
8659,0.95,44
8668,3.25,42
8689,6.84,41
8696,1.03,45
8711,1.42,40
8720,0.72,44
8731,4.91,43
8733,0.45,44
8735,0.61,45
8736,1.87,0
8745,2.06,42
8752,7.04,38
8760,1.56,44
8816,0.48,47
8831,6.19,42
8837,2.61,43
8883,0.25,37
8892,2.65,38
8896,0.47,38
8901,7.98,38
8917,8.72,40
8953,1.74,47
8968,7.82,27
8980,3.79,47
8981,0.19,39
8987,4.90,43
8989,0.33,46.1
9023,0.50,44.99
9031,4.06,0.34
9032,1.62,41
9036,9.29,39
9040,0.12,41
9045,4.07,44.4
9077,0.29,39
9093,3.25,50
9098,4.67,42
9108,1.94,41
9111,2.32,45
9136,1.68,47
9142,3.16,40
9145,0.25,40.77
9154,0.75,44
9156,5.24,39
9157,0.60,0
9165,0.14,41
9187,1.44,47
9234,0.16,41
9247,2.19,44
9252,0.92,46
9273,5.46,40.16
9275,8.15,38.68
9276,3.44,44.34
9277,0.21,44.23
9282,1.98,51.31
9285,3.05,42.96
